Prefix,Input_text,Target_text
webNLG,U Yadav|Rohit|FOUR,"U Yadav to Rohit, leg byes, FOUR, poor ball from"
webNLG,U Yadav|Rohit|FOUR,"U Yadav to Rohit, FOUR, cracking shot, length ball on"
webNLG,U Yadav|Saurabh Tiwary|FOUR,"U Yadav to Saurabh Tiwary, FOUR, this is turning out"
webNLG,Narine|Rohit|FOUR,"Narine to Rohit, FOUR, the two men behind square on"
webNLG,U Yadav|Saurabh Tiwary|FOUR,"U Yadav to Saurabh Tiwary, FOUR, thick edge! Shortish ball"
webNLG,U Yadav|Rohit|SIX,"U Yadav to Rohit, SIX, that envious swing of blade"
webNLG,de Grandhomme|Rohit|FOUR,"de Grandhomme to Rohit, FOUR, nicely done. Did not try"
webNLG,Kuldeep Yadav|Rohit|FOUR,"Kuldeep Yadav to Rohit, FOUR, goes with the turn does"
webNLG,Kuldeep Yadav|Rohit|FOUR,"Kuldeep Yadav to Rohit, leg byes, FOUR, wrong 'un. Rohit"
webNLG,Rajpoot|Rohit|OUT,"Rajpoot to Rohit, out Lbw!! That's the curtains for Rohit"
webNLG,Unadkat|Guptill|OUT,"Unadkat to Guptill, out Caught by Manoj Tiwary!! Disastrous start"
webNLG,Unadkat|Shaun Marsh|FOUR,"Unadkat to Shaun Marsh, FOUR, almost another! On a good"
webNLG,SN Thakur|Shaun Marsh|FOUR,"SN Thakur to Shaun Marsh, FOUR, cracking shot, leg-stump half-volley"
webNLG,Christian|Axar|OUT,"Christian to Axar, out Caught by Dhoni!! Very loose. Just"
webNLG,Unadkat|Swapnil Singh|OUT,"Unadkat to Swapnil Singh, out Caught by Dhoni!! Relay stuff."
webNLG,Zampa|Ishant|OUT,"Zampa to Ishant, out Caught by Smith!! All too easy."
webNLG,Zampa|Mohit Sharma|OUT,"Zampa to Mohit Sharma, out Caught by Christian!! That's curtains."
webNLG,Unadkat|Saha|ONE,"Unadkat to Saha, 1 run, edged and dropped, MS is"
webNLG,Unadkat|Saha|SIX,"Unadkat to Saha, SIX, cracking shot, length ball on Saha's"
webNLG,SN Thakur|Shaun Marsh|OUT,"SN Thakur to Shaun Marsh, out Caught by Smith!! That's"
webNLG,SN Thakur|Eoin Morgan|FOUR,"SN Thakur to Eoin Morgan, FOUR, cracking shot, width on"
webNLG,Stokes|Eoin Morgan|OUT,"Stokes to Eoin Morgan, out Eoin Morgan Run Out!! Brilliant"
webNLG,Stokes|Rahul Tewatia|FOUR,"Stokes to Rahul Tewatia, FOUR, lovely shot, fraction overpitched and"
webNLG,SN Thakur|Rahul Tewatia|OUT,"SN Thakur to Rahul Tewatia, out Caught by Unadkat!! Unadkat"
webNLG,SN Thakur|Maxwell|OUT,"SN Thakur to Maxwell, out Caught by Rahane!! It is"
webNLG,SN Thakur|Axar|FOUR,"SN Thakur to Axar, FOUR, edged and four, nearly a"
webNLG,Zampa|Axar|SIX,"Zampa to Axar, SIX, poor ball from Zampa, drops one"
webNLG,Christian|Saha|OUT,"Christian to Saha, out Caught by Dhoni!! KXIP slump into"
webNLG,Mohit Sharma|Tripathi|FOUR,"Mohit Sharma to Tripathi, FOUR, 'I am not going to"
webNLG,Maxwell|Rahane|SIX,"Maxwell to Rahane, SIX, Rahane skips down and chips over"
webNLG,Sandeep Sharma|Tripathi|FOUR,"Sandeep Sharma to Tripathi, FOUR, although he shows his cards"
webNLG,Ishant|Tripathi|FOUR,"Ishant to Tripathi, FOUR, off the toe of the willow"
webNLG,Ishant|Tripathi|FOUR,"Ishant to Tripathi, FOUR, too straight and with Ishant's inward"
webNLG,Rahul Tewatia|Tripathi|SIX,"Rahul Tewatia to Tripathi, SIX, bye, bye ball. Margin of"
webNLG,Axar|Rahane|FOUR,"Axar to Rahane, FOUR, shortish. Rahane sees early and shapes"
webNLG,Axar|Tripathi|OUT,"Axar to Tripathi, out Bowled!! Tripathi has to go. Outrageous"
webNLG,Rahul Tewatia|Rahane|ONE,"Rahul Tewatia to Rahane, 1 run, Rahane slogs and is"
webNLG,Avesh Khan|Samson|OUT,"Avesh Khan to Samson, out Caught by Kohli!! Wicket of"
webNLG,Chahal|Nair|FOUR,"Chahal to Nair, FOUR, top shot from Nair. Gets outside"
webNLG,Chahal|Nair|FOUR,"Chahal to Nair, byes, FOUR, what happened there? Nair was"
webNLG,Watson|Pant|FOUR,"Watson to Pant, FOUR, short of a good length ball"
webNLG,Harshal Patel|Shreyas Iyer|OUT,"Harshal Patel to Shreyas Iyer, out Caught by Watson!! The"
webNLG,Harshal Patel|Samuels|OUT,"Harshal Patel to Samuels, out Bowled!! Back to back wickets"
webNLG,Harshal Patel|Pant|FOUR,"Harshal Patel to Pant, FOUR, such a sweet, sensible shot"
webNLG,Head|Corey Anderson|OUT,"Head to Corey Anderson, out Stumped!! This is reckless from"
webNLG,Head|Pat Cummins|SIX,"Head to Pat Cummins, SIX, floated slightly and Pat Cummins"
webNLG,Head|Pat Cummins|OUT,"Head to Pat Cummins, out Caught by Kohli!! That is"
webNLG,Harshal Patel|Pant|SIX,"Harshal Patel to Pant, SIX, he is running out of"
webNLG,Harshal Patel|Pant|OUT,"Harshal Patel to Pant, out Bowled!! Harshal Patel has got"
webNLG,Harshal Patel|Shami|FOUR,"Harshal Patel to Shami, FOUR, not a bad shot to"
webNLG,Harshal Patel|Shami|FOUR,"Harshal Patel to Shami, FOUR, full around off. Shami has"
webNLG,Negi|Mishra|SIX,"Negi to Mishra, SIX, he won Delhi the last game"
webNLG,Negi|Mishra|OUT,"Negi to Mishra, out Bowled!! Mishra won't do it for"
webNLG,Avesh Khan|Shami|SIX,"Avesh Khan to Shami, SIX, Shami has not given up,"
webNLG,Avesh Khan|Shami|FOUR,"Avesh Khan to Shami, FOUR, 13 they will need off"
webNLG,Negi|Shami|OUT,"Negi to Shami, out Stumped!! Stumping appeal, this looks close."
webNLG,Negi|Nadeem|OUT,"Negi to Nadeem, out Caught by Kedar Jadhav!! Slogs across"
webNLG,Avesh Khan|Nair|FOUR,"Avesh Khan to Nair, FOUR, that a top shot from"
webNLG,Chahal|Shreyas Iyer|SIX,"Chahal to Shreyas Iyer, SIX, Chahal gives it little more"
webNLG,Harshal Patel|Nair|FOUR,"Harshal Patel to Nair, FOUR, poor start from Harshal Patel."
webNLG,Harshal Patel|Nair|FOUR,"Harshal Patel to Nair, FOUR, cheeky from Nair. Walks inside"
webNLG,Harshal Patel|Nair|FOUR,"Harshal Patel to Nair, FOUR, back-to-back boundaries for Nair. It"
webNLG,Watson|Nair|OUT,"Watson to Nair, out Caught by Kedar Jadhav!! Nair perishes."
webNLG,Head|Shreyas Iyer|FOUR,"Head to Shreyas Iyer, FOUR, this time Shreyas Iyer splits"
webNLG,Head|Pant|SIX,"Head to Pant, SIX, Pant gets into the act now."
webNLG,Chahal|Shreyas Iyer|FOUR,"Chahal to Shreyas Iyer, FOUR, Shreyas Iyer makes full use"
webNLG,Zaheer|Gayle|FOUR,"Zaheer to Gayle, FOUR, Gayle is off and running, no"
webNLG,Zaheer|Gayle|FOUR,"Zaheer to Gayle, FOUR, lovely shot, overpitched and on Gayle's"
webNLG,Shami|Gayle|SIX,"Shami to Gayle, SIX, Gayle will play freely tonight, this"
webNLG,Mishra|Gayle|SIX,"Mishra to Gayle, SIX, a Gayle special. Mishra darts the"
webNLG,Mishra|Kohli|SIX,"Mishra to Kohli, SIX, more of the juicy Mishraji half-trackers."
webNLG,Mishra|Kohli|FOUR,"Mishra to Kohli, FOUR, the dart again. But this time"
webNLG,Nadeem|Gayle|OUT,"Nadeem to Gayle, out Caught by Zaheer!! Yes, the break"
webNLG,Zaheer|Kohli|OUT,"Zaheer to Kohli, out Head Run Out!! 1 run completed."
webNLG,Zaheer|Kohli|ONE,"Zaheer to Kohli, 1 run, here's the half-ton. Kotla acknowledges."
webNLG,Zaheer|Kohli|NO RUN,"Zaheer to Kohli, no run, just doesn't stick. Zak has"
webNLG,Zaheer|Kohli|SIX,"Zaheer to Kohli, SIX, a clear case of a missed"
webNLG,Zaheer|Kohli|OUT,"Zaheer to Kohli, out Caught by Nadeem!! Holes out before"
webNLG,Zaheer|Kedar Jadhav|SIX,"Zaheer to Kedar Jadhav, SIX, Jadhav joins the act. Gets"
webNLG,Shami|Kedar Jadhav|OUT,"Shami to Kedar Jadhav, out Kedar Jadhav Run Out!! Freaky."
webNLG,Shami|Sachin Baby|FOUR,"Shami to Sachin Baby, FOUR, misses the length. Dishes out"
webNLG,Pat Cummins|Sachin Baby|FOUR,"Pat Cummins to Sachin Baby, FOUR, intercepting the gap. Again."
webNLG,Pat Cummins|Sachin Baby|OUT,"Pat Cummins to Sachin Baby, out Caught by Corey Anderson!!"
webNLG,Corey Anderson|Negi|FOUR,"Corey Anderson to Negi, FOUR, width. Throws his hands out."
webNLG,Corey Anderson|Negi|FOUR,"Corey Anderson to Negi, FOUR, he does it again. Pierces"
webNLG,Corey Anderson|Negi|FOUR,"Corey Anderson to Negi, FOUR, follows the edges with one"
webNLG,Shami|Gayle|SIX,"Shami to Gayle, SIX, massive, too short from Shami and"
webNLG,Pat Cummins|Vishnu Vinod|OUT,"Pat Cummins to Vishnu Vinod, out Bowled!! Cummins has made"
webNLG,Shami|Gayle|FOUR,"Shami to Gayle, FOUR, cracking shot, attempted yorker from Shami"
webNLG,Mishra|Kohli|FOUR,"Mishra to Kohli, FOUR, cracking shot, flatter and on the"
webNLG,Corey Anderson|Kohli|SIX,"Corey Anderson to Kohli, SIX, lovely shot, a simple extension"
webNLG,Nadeem|Kohli|FOUR,"Nadeem to Kohli, FOUR, nicely played, Nadeem drifts this one"
webNLG,Washington Sundar|Parthiv Patel|SIX,"Washington Sundar to Parthiv Patel, SIX, there's a man at"
webNLG,Lockie Ferguson|Hardik Pandya|OUT,"Lockie Ferguson to Hardik Pandya, out Caught by Christian!! Look"
webNLG,SN Thakur|McClenaghan|OUT,"SN Thakur to McClenaghan, out Caught by Unadkat!! Cutting away,"
webNLG,Unadkat|Parthiv Patel|SIX,"Unadkat to Parthiv Patel, SIX, PP starting from where he"
webNLG,SN Thakur|Malinga|SIX,"SN Thakur to Malinga, SIX, Dhoni carves a final spot"
webNLG,Lockie Ferguson|Parthiv Patel|SIX,"Lockie Ferguson to Parthiv Patel, SIX, the pocket rocket of"
webNLG,SN Thakur|Parthiv Patel|FOUR,"SN Thakur to Parthiv Patel, FOUR, the pitch is slow?"
webNLG,SN Thakur|Parthiv Patel|OUT,"SN Thakur to Parthiv Patel, out Simmons Run Out!! Oh,"
webNLG,SN Thakur|Parthiv Patel|FOUR,"SN Thakur to Parthiv Patel, FOUR, PP continues on his"
webNLG,Washington Sundar|Rohit|OUT,"Washington Sundar to Rohit, out Lbw!! Ah! Rohit Sharma and"
webNLG,Washington Sundar|Rayudu|OUT,"Washington Sundar to Rayudu, out Caught by Smith!! Gone without"
webNLG,Lockie Ferguson|Pollard|FOUR,"Lockie Ferguson to Pollard, FOUR, driven past the diving mid-off"
webNLG,Washington Sundar|Pollard|OUT,"Washington Sundar to Pollard, out Caught by Smith!! That's a"
webNLG,SN Thakur|Parthiv Patel|FOUR,"SN Thakur to Parthiv Patel, FOUR, latches on the width"
webNLG,SN Thakur|Hardik Pandya|FOUR,"SN Thakur to Hardik Pandya, FOUR, short and slipping down"
webNLG,Zampa|Hardik Pandya|SIX,"Zampa to Hardik Pandya, SIX, that's the way he plays."
webNLG,McClenaghan|Tripathi|OUT,"McClenaghan to Tripathi, out Bowled!! The full swinging in delivery"
webNLG,Malinga|Smith|OUT,"Malinga to Smith, out Caught by Hardik Pandya!! Malinga strikes"
webNLG,Malinga|Rahane|FOUR,"Malinga to Rahane, FOUR, short and wide outside off, Rahane"
webNLG,Krunal Pandya|Manoj Tiwary|FOUR,"Krunal Pandya to Manoj Tiwary, FOUR, in the air and"
webNLG,Krunal Pandya|Rahane|FOUR,"Krunal Pandya to Rahane, FOUR, ah! That should have been"
webNLG,Krunal Pandya|Rahane|ONE,"Krunal Pandya to Rahane, 1 run, another sweep shot through"
webNLG,Karn Sharma|Rahane|OUT,"Karn Sharma to Rahane, out Lbw!! The partnership is broken"
webNLG,Karn Sharma|Dhoni|SIX,"Karn Sharma to Dhoni, SIX, Mahendra Singh Dhoni is underway."
webNLG,Bumrah|Manoj Tiwary|FOUR,"Bumrah to Manoj Tiwary, FOUR, ah! That should have been"
webNLG,McClenaghan|Manoj Tiwary|SIX,"McClenaghan to Manoj Tiwary, SIX, Tiwary takes full toll of"
webNLG,McClenaghan|Manoj Tiwary|FOUR,"McClenaghan to Manoj Tiwary, no ball, FOUR, that's a horror"
webNLG,McClenaghan|Dhoni|SIX,"McClenaghan to Dhoni, SIX, brings up the 50-run stand in"
webNLG,McClenaghan|Dhoni|SIX,"McClenaghan to Dhoni, SIX, it's high and it is handsome"
webNLG,Bumrah|Dhoni|SIX,"Bumrah to Dhoni, SIX, that's a special shot! Back of"
webNLG,Bumrah|Dhoni|SIX,"Bumrah to Dhoni, SIX, wow! Just wow! You can't do"
webNLG,McClenaghan|Rahane|FOUR,"McClenaghan to Rahane, FOUR, the Mumbai boy decides to take"
webNLG,McClenaghan|Rahane|FOUR,"McClenaghan to Rahane, FOUR, highish elbow, weight into the shot"
webNLG,Bumrah|Dhoni|OUT,"Bumrah to Dhoni, out Manoj Tiwary Run Out!! Two dot"
webNLG,Karn Sharma|Rahane|FOUR,"Karn Sharma to Rahane, FOUR, backs away and drives! That"
webNLG,Karn Sharma|Manoj Tiwary|SIX,"Karn Sharma to Manoj Tiwary, SIX, comes down the track"
webNLG,Hardik Pandya|Rahane|SIX,"Hardik Pandya to Rahane, SIX, Rahane comes down on it"
webNLG,Hardik Pandya|Manoj Tiwary|FOUR,"Hardik Pandya to Manoj Tiwary, FOUR, looks to push at"
webNLG,Krunal Pandya|Rahane|ONE,"Krunal Pandya to Rahane, 1 run, FIFTY for the combo!"
webNLG,U Yadav|Warner|FOUR,"U Yadav to Warner, FOUR, up on his toes and"
webNLG,Narine|Warner|SIX,"Narine to Warner, SIX, that's a massive shot! No doubt,"
webNLG,Coulter-Nile|Warner|ONE,"Coulter-Nile to Warner, 1 run, once again, no room on"
webNLG,Coulter-Nile|Williamson|OUT,"Coulter-Nile to Williamson, out Caught by Suryakumar Yadav!! The ploy"
webNLG,Chawla|Warner|OUT,"Chawla to Warner, out Bowled!! Two big wickets within a"
webNLG,Chawla|Yuvraj|FOUR,"Chawla to Yuvraj, FOUR, why do you bowl that? Easy"
webNLG,Narine|Vijay Shankar|FOUR,"Narine to Vijay Shankar, FOUR, bit like Guptill. Slogs across"
webNLG,Chawla|Yuvraj|FOUR,"Chawla to Yuvraj, FOUR, Vijay Shankar isn't donning a helmet."
webNLG,Chawla|Vijay Shankar|SIX,"Chawla to Vijay Shankar, SIX, this guy can hit it"
webNLG,U Yadav|Yuvraj|OUT,"U Yadav to Yuvraj, out Caught by Chawla!! In the"
webNLG,Boult|Vijay Shankar|FOUR,"Boult to Vijay Shankar, FOUR, much needed boundary for SRH."
webNLG,Boult|Naman Ojha|SIX,"Boult to Naman Ojha, SIX, he was clueless against Narine."
webNLG,Coulter-Nile|Vijay Shankar|OUT,"Coulter-Nile to Vijay Shankar, out Caught by Suryakumar Yadav!! Wicket"
webNLG,Coulter-Nile|Jordan|OUT,"Coulter-Nile to Jordan, out Caught&Bowled!! Another one bites the dust."
webNLG,Boult|Warner|FOUR,"Boult to Warner, FOUR, 140ks, short and wide. What does"
webNLG,U Yadav|Dhawan|FOUR,"U Yadav to Dhawan, FOUR, got complete hold of it"
webNLG,Boult|Naman Ojha|OUT,"Boult to Naman Ojha, out Caught by Chris Lynn!! The"
webNLG,U Yadav|Dhawan|OUT,"U Yadav to Dhawan, out Caught by Uthappa!! There you"
webNLG,Y Pathan|Williamson|FOUR,"Y Pathan to Williamson, FOUR, class written all over it."
webNLG,Chawla|Warner|SIX,"Chawla to Warner, SIX, Warner has mixed all his frustration"
webNLG,Coulter-Nile|Williamson|FOUR,"Coulter-Nile to Williamson, FOUR, why worry when you can play"
webNLG,Coulter-Nile|Williamson|SIX,"Coulter-Nile to Williamson, SIX, sure that time-out has helped KW."
webNLG,U Yadav|Warner|FOUR,"U Yadav to Warner, FOUR, up on his toes and"
webNLG,Narine|Warner|SIX,"Narine to Warner, SIX, that's a massive shot! No doubt,"
webNLG,Coulter-Nile|Warner|ONE,"Coulter-Nile to Warner, 1 run, once again, no room on"
webNLG,Coulter-Nile|Williamson|OUT,"Coulter-Nile to Williamson, out Caught by Suryakumar Yadav!! The ploy"
webNLG,Chawla|Warner|OUT,"Chawla to Warner, out Bowled!! Two big wickets within a"
webNLG,Chawla|Yuvraj|FOUR,"Chawla to Yuvraj, FOUR, why do you bowl that? Easy"
webNLG,Narine|Vijay Shankar|FOUR,"Narine to Vijay Shankar, FOUR, bit like Guptill. Slogs across"
webNLG,Chawla|Yuvraj|FOUR,"Chawla to Yuvraj, FOUR, Vijay Shankar isn't donning a helmet."
webNLG,Chawla|Vijay Shankar|SIX,"Chawla to Vijay Shankar, SIX, this guy can hit it"
webNLG,U Yadav|Yuvraj|OUT,"U Yadav to Yuvraj, out Caught by Chawla!! In the"
webNLG,Boult|Vijay Shankar|FOUR,"Boult to Vijay Shankar, FOUR, much needed boundary for SRH."
webNLG,Boult|Naman Ojha|SIX,"Boult to Naman Ojha, SIX, he was clueless against Narine."
webNLG,Coulter-Nile|Vijay Shankar|OUT,"Coulter-Nile to Vijay Shankar, out Caught by Suryakumar Yadav!! Wicket"
webNLG,Coulter-Nile|Jordan|OUT,"Coulter-Nile to Jordan, out Caught&Bowled!! Another one bites the dust."
webNLG,Boult|Warner|FOUR,"Boult to Warner, FOUR, 140ks, short and wide. What does"
webNLG,U Yadav|Dhawan|FOUR,"U Yadav to Dhawan, FOUR, got complete hold of it"
webNLG,Boult|Naman Ojha|OUT,"Boult to Naman Ojha, out Caught by Chris Lynn!! The"
webNLG,U Yadav|Dhawan|OUT,"U Yadav to Dhawan, out Caught by Uthappa!! There you"
webNLG,Y Pathan|Williamson|FOUR,"Y Pathan to Williamson, FOUR, class written all over it."
webNLG,Chawla|Warner|SIX,"Chawla to Warner, SIX, Warner has mixed all his frustration"
webNLG,Coulter-Nile|Williamson|FOUR,"Coulter-Nile to Williamson, FOUR, why worry when you can play"
webNLG,Coulter-Nile|Williamson|SIX,"Coulter-Nile to Williamson, SIX, sure that time-out has helped KW."
webNLG,Bumrah|Chris Lynn|OUT,"Bumrah to Chris Lynn, out Caught by Pollard!! This is"
webNLG,Krunal Pandya|Suryakumar Yadav|SIX,"Krunal Pandya to Suryakumar Yadav, SIX, here's the start. On"
webNLG,Johnson|Jaggi|FOUR,"Johnson to Jaggi, FOUR, the gallops are out. Jumps down,"
webNLG,Krunal Pandya|Suryakumar Yadav|FOUR,"Krunal Pandya to Suryakumar Yadav, FOUR, the sweet sweeps. More"
webNLG,Krunal Pandya|Suryakumar Yadav|FOUR,"Krunal Pandya to Suryakumar Yadav, FOUR, now through the other"
webNLG,Malinga|Jaggi|FOUR,"Malinga to Jaggi, FOUR, picks the bones out of this"
webNLG,Malinga|Jaggi|FOUR,"Malinga to Jaggi, FOUR, a ground version of the helicopter."
webNLG,Karn Sharma|Jaggi|OUT,"Karn Sharma to Jaggi, out Caught by Johnson!! The end"
webNLG,Johnson|Chawla|OUT,"Johnson to Chawla, out Caught by Rayudu!! Ends a troubled"
webNLG,Johnson|Coulter-Nile|SIX,"Johnson to Coulter-Nile, SIX, here's the first of his dispatches."
webNLG,Johnson|Coulter-Nile|OUT,"Johnson to Coulter-Nile, out Caught by Hardik Pandya!! Howrah bridge"
webNLG,Bumrah|Suryakumar Yadav|OUT,"Bumrah to Suryakumar Yadav, out Caught by Malinga!! Talk of"
webNLG,Bumrah|Rajpoot|FOUR,"Bumrah to Rajpoot, FOUR, the perfect yorker. Right in the"
webNLG,Malinga|Rajpoot|OUT,"Malinga to Rajpoot, out Bowled!! Three slower death rattles -"
webNLG,Johnson|Gambhir|FOUR,"Johnson to Gambhir, FOUR, so he gets a pitched up"
webNLG,Malinga|Narine|SIX,"Malinga to Narine, SIX, there you go. Picks it off"
webNLG,Karn Sharma|Narine|OUT,"Karn Sharma to Narine, out Stumped!! Hoodwinked by the wrong"
webNLG,Bumrah|Uthappa|OUT,"Bumrah to Uthappa, out Lbw!! 144ks inducker nails him in"
webNLG,Karn Sharma|Gambhir|FOUR,"Karn Sharma to Gambhir, FOUR, inside-out over covers. Perhaps only"
webNLG,Karn Sharma|Gambhir|OUT,"Karn Sharma to Gambhir, out Caught by Hardik Pandya!! Now"
webNLG,Karn Sharma|de Grandhomme|OUT,"Karn Sharma to de Grandhomme, out Lbw!! This is anticlimactically"
webNLG,Bumrah|Chris Lynn|OUT,"Bumrah to Chris Lynn, out Caught by Pollard!! This is"
webNLG,Krunal Pandya|Suryakumar Yadav|SIX,"Krunal Pandya to Suryakumar Yadav, SIX, here's the start. On"
webNLG,Johnson|Jaggi|FOUR,"Johnson to Jaggi, FOUR, the gallops are out. Jumps down,"
webNLG,Krunal Pandya|Suryakumar Yadav|FOUR,"Krunal Pandya to Suryakumar Yadav, FOUR, the sweet sweeps. More"
webNLG,Krunal Pandya|Suryakumar Yadav|FOUR,"Krunal Pandya to Suryakumar Yadav, FOUR, now through the other"
webNLG,Malinga|Jaggi|FOUR,"Malinga to Jaggi, FOUR, picks the bones out of this"
webNLG,Malinga|Jaggi|FOUR,"Malinga to Jaggi, FOUR, a ground version of the helicopter."
webNLG,Karn Sharma|Jaggi|OUT,"Karn Sharma to Jaggi, out Caught by Johnson!! The end"
webNLG,Johnson|Chawla|OUT,"Johnson to Chawla, out Caught by Rayudu!! Ends a troubled"
webNLG,Johnson|Coulter-Nile|SIX,"Johnson to Coulter-Nile, SIX, here's the first of his dispatches."
webNLG,Johnson|Coulter-Nile|OUT,"Johnson to Coulter-Nile, out Caught by Hardik Pandya!! Howrah bridge"
webNLG,Bumrah|Suryakumar Yadav|OUT,"Bumrah to Suryakumar Yadav, out Caught by Malinga!! Talk of"
webNLG,Bumrah|Rajpoot|FOUR,"Bumrah to Rajpoot, FOUR, the perfect yorker. Right in the"
webNLG,Malinga|Rajpoot|OUT,"Malinga to Rajpoot, out Bowled!! Three slower death rattles -"
webNLG,Johnson|Gambhir|FOUR,"Johnson to Gambhir, FOUR, so he gets a pitched up"
webNLG,Malinga|Narine|SIX,"Malinga to Narine, SIX, there you go. Picks it off"
webNLG,Karn Sharma|Narine|OUT,"Karn Sharma to Narine, out Stumped!! Hoodwinked by the wrong"
webNLG,Bumrah|Uthappa|OUT,"Bumrah to Uthappa, out Lbw!! 144ks inducker nails him in"
webNLG,Karn Sharma|Gambhir|FOUR,"Karn Sharma to Gambhir, FOUR, inside-out over covers. Perhaps only"
webNLG,Karn Sharma|Gambhir|OUT,"Karn Sharma to Gambhir, out Caught by Hardik Pandya!! Now"
webNLG,Karn Sharma|de Grandhomme|OUT,"Karn Sharma to de Grandhomme, out Lbw!! This is anticlimactically"
webNLG,Washington Sundar|Krunal Pandya|FOUR,"Washington Sundar to Krunal Pandya, FOUR, in the airrrr, in"
webNLG,Zampa|Rohit|OUT,"Zampa to Rohit, out Caught by SN Thakur!! What a"
webNLG,Zampa|Pollard|SIX,"Zampa to Pollard, SIX, wowww! What a start. This is"
webNLG,Zampa|Pollard|OUT,"Zampa to Pollard, out Caught by Manoj Tiwary!! Is there"
webNLG,Zampa|Hardik Pandya|SIX,"Zampa to Hardik Pandya, SIX, what a hit from the"
webNLG,Christian|Hardik Pandya|OUT,"Christian to Hardik Pandya, out Lbw!! People were talking about"
webNLG,SN Thakur|Karn Sharma|OUT,"SN Thakur to Karn Sharma, out Karn Sharma Run Out!!"
webNLG,Christian|Johnson|SIX,"Christian to Johnson, SIX, that has been flat-batted with a"
webNLG,Christian|Johnson|ONE,"Christian to Johnson, byes, 1 run, looks for the deft"
webNLG,Christian|Krunal Pandya|FOUR,"Christian to Krunal Pandya, FOUR, length ball, no room, Krunal"
webNLG,Unadkat|Krunal Pandya|SIX,"Unadkat to Krunal Pandya, SIX, the slower ball disappears now!"
webNLG,Christian|Krunal Pandya|FOUR,"Christian to Krunal Pandya, FOUR, full on the sticks, nothing"
webNLG,Christian|Krunal Pandya|SIX,"Christian to Krunal Pandya, SIX, Krunal Pandya is tonking them"
webNLG,Christian|Johnson|ONE,"Christian to Johnson, 1 run, the partnership between Johnson and"
webNLG,Unadkat|Parthiv Patel|OUT,"Unadkat to Parthiv Patel, out Caught by SN Thakur!! The"
webNLG,Unadkat|Simmons|OUT,"Unadkat to Simmons, out Caught&Bowled!! 'Phenomenal catch', says Matthew Hayden"
webNLG,Christian|Krunal Pandya|OUT,"Christian to Krunal Pandya, out Caught by Rahane!! No such"
webNLG,Lockie Ferguson|Rohit|FOUR,"Lockie Ferguson to Rohit, FOUR, first boundary of the final,"
webNLG,Lockie Ferguson|Rohit|FOUR,"Lockie Ferguson to Rohit, FOUR, Ferguson is relieving some pressure"
webNLG,Lockie Ferguson|Rohit|FOUR,"Lockie Ferguson to Rohit, FOUR, edged and four, streaky but"
webNLG,Lockie Ferguson|Rohit|FOUR,"Lockie Ferguson to Rohit, FOUR, classy, shot of ther final"
webNLG,Zampa|Rayudu|FOUR,"Zampa to Rayudu, FOUR, poor ball from Zampa, dropped it"
webNLG,Lockie Ferguson|Rayudu|OUT,"Lockie Ferguson to Rayudu, out Rayudu Run Out!! Excellent cricket"
webNLG,Washington Sundar|Krunal Pandya|FOUR,"Washington Sundar to Krunal Pandya, FOUR, in the airrrr, in"
webNLG,Zampa|Rohit|OUT,"Zampa to Rohit, out Caught by SN Thakur!! What a"
webNLG,Zampa|Pollard|SIX,"Zampa to Pollard, SIX, wowww! What a start. This is"
webNLG,Zampa|Pollard|OUT,"Zampa to Pollard, out Caught by Manoj Tiwary!! Is there"
webNLG,Zampa|Hardik Pandya|SIX,"Zampa to Hardik Pandya, SIX, what a hit from the"
webNLG,Christian|Hardik Pandya|OUT,"Christian to Hardik Pandya, out Lbw!! People were talking about"
webNLG,SN Thakur|Karn Sharma|OUT,"SN Thakur to Karn Sharma, out Karn Sharma Run Out!!"
webNLG,Christian|Johnson|SIX,"Christian to Johnson, SIX, that has been flat-batted with a"
webNLG,Christian|Johnson|ONE,"Christian to Johnson, byes, 1 run, looks for the deft"
webNLG,Christian|Krunal Pandya|FOUR,"Christian to Krunal Pandya, FOUR, length ball, no room, Krunal"
webNLG,Unadkat|Krunal Pandya|SIX,"Unadkat to Krunal Pandya, SIX, the slower ball disappears now!"
webNLG,Christian|Krunal Pandya|FOUR,"Christian to Krunal Pandya, FOUR, full on the sticks, nothing"
webNLG,Christian|Krunal Pandya|SIX,"Christian to Krunal Pandya, SIX, Krunal Pandya is tonking them"
webNLG,Christian|Johnson|ONE,"Christian to Johnson, 1 run, the partnership between Johnson and"
webNLG,Unadkat|Parthiv Patel|OUT,"Unadkat to Parthiv Patel, out Caught by SN Thakur!! The"
webNLG,Unadkat|Simmons|OUT,"Unadkat to Simmons, out Caught&Bowled!! 'Phenomenal catch', says Matthew Hayden"
webNLG,Christian|Krunal Pandya|OUT,"Christian to Krunal Pandya, out Caught by Rahane!! No such"
webNLG,Lockie Ferguson|Rohit|FOUR,"Lockie Ferguson to Rohit, FOUR, first boundary of the final,"
webNLG,Lockie Ferguson|Rohit|FOUR,"Lockie Ferguson to Rohit, FOUR, Ferguson is relieving some pressure"
webNLG,Lockie Ferguson|Rohit|FOUR,"Lockie Ferguson to Rohit, FOUR, edged and four, streaky but"
webNLG,Lockie Ferguson|Rohit|FOUR,"Lockie Ferguson to Rohit, FOUR, classy, shot of ther final"
webNLG,Zampa|Rayudu|FOUR,"Zampa to Rayudu, FOUR, poor ball from Zampa, dropped it"
